Configuration weight     Weight sign              
615.427                  1                        
618.463                  1                        
624.551                  1                        
623.592                  1                        
621.494                  1                        
630.849                  1                        
627.54                   1                        
618.832                  1                        
614.883                  1                        
612.276                  1                        
615.017                  1                        
613.527                  1                        
615.353                  1                        
615.147                  1                        
621.299                  1                        
618.497                  1                        
619.178                  1                        
614.875                  1                        
624.047                  1                        
622.953                  1                        
625.151                  1                        
623.36                   1                        
622.549                  1                        
622.342                  1                        
616.159                  1                        
619.504                  1                        
631.001                  1                        
625.552                  1                        
625.388                  1                        
630.523                  1                        
627.319                  1                        
634.087                  1                        
636.517                  1                        
643.025                  1                        
644.702                  1                        
640.527                  1                        
641.489                  1                        
639.456                  1                        
628.198                  1                        
627.238                  1                        
635.965                  1                        
635.687                  1                        
636.939                  1                        
633.591                  1                        
632.526                  1                        
633.644                  1                        
635.746                  1                        
634.468                  1                        
635.444                  1                        
633.792                  1                        
636.233                  1                        
641.526                  1                        
630.968                  1                        
629.334                  1                        
631.249                  1                        
629.118                  1                        
638.235                  1                        
639.452                  1                        
642.215                  1                        
639.484                  1                        
630.489                  1                        
623.885                  1                        
629.728                  1                        
632.5                    1                        
634.474                  1                        
629.426                  1                        
641.91                   1                        
639.518                  1                        
642.3                    1                        
637.475                  1                        
636.556                  1                        
634.381                  1                        
638.143                  1                        
637.304                  1                        
628.283                  1                        
623.859                  1                        
627.863                  1                        
629.942                  1                        
627.347                  1                        
633.005                  1                        
631.954                  1                        
637.516                  1                        
626.254                  1                        
629.439                  1                        
626.679                  1                        
618.509                  1                        
614.537                  1                        
620.362                  1                        
615.306                  1                        
609.024                  1                        
618.625                  1                        
621.799                  1                        
628.121                  1                        
628.09                   1                        
630.977                  1                        
627.994                  1                        
618.562                  1                        
619.958                  1                        
615.51                   1                        
614.551                  1                        
610.386                  1                        
609.865                  1                        
614.16                   1                        
608.029                  1                        
615.881                  1                        
606.722                  1                        
601.363                  1                        
598.001                  1                        
596.963                  1                        
583.183                  1                        
578.571                  1                        
583.865                  1                        
582.329                  1                        
584.319                  1                        
584.769                  1                        
588.202                  1                        
589.53                   1                        
596.689                  1                        
599.199                  1                        
605.079                  1                        
602.558                  1                        
600.77                   1                        
598.541                  1                        
600.735                  1                        
602.648                  1                        
609.492                  1                        
613.05                   1                        
617.079                  1                        
618.973                  1                        
613.873                  1                        
611.338                  1                        
615.683                  1                        
614.275                  1                        
616.427                  1                        
617.009                  1                        
615.919                  1                        
610.91                   1                        
611.104                  1                        
607.265                  1                        
609.745                  1                        
610.925                  1                        
609.586                  1                        
