weights			sign			<n>			<n+ n->
191213			1			1.0001			0.10986
891947			1			1.00131			0.109643
6514.27			1			1.00083			0.133983
22485.7			1			1.00047			0.13566
75572.7			1			1.00188			0.138995
879.644			1			1.00242			0.13839
461536			1			1.00407			0.134046
2.89039e+06			1			1.07387			0.181082
18865.9			1			1.03598			0.190767
133474			1			1.00451			0.117908
171535			1			1.00477			0.129653
12891.3			1			1.14461			0.227013
219993			1			1.49928			0.499447
23639.7			1			1.45598			0.465016
426918			1			1.46846			0.478218
10285			1			1.34601			0.378648
31.1458			1			1.14576			0.252416
14165.1			1			1.48255			0.486792
193.686			1			1.49916			0.499399
5117.71			1			1.49839			0.498866
377.043			1			1.44348			0.45605
604.208			1			1.0395			0.162695
4064.78			1			1.00297			0.143409
5545.28			1			1.00162			0.122385
75945.6			1			1.38125			0.424466
2754.82			1			1.48003			0.485414
460630			1			1.46063			0.47303
87437.5			1			1.41462			0.432825
17096.6			1			1.00082			0.144685
39429.6			1			1.00877			0.140501
2018.82			1			1.00055			0.135885
576842			1			1.00129			0.119863
100493			1			1.00054			0.110041
13623.9			1			1.00036			0.114892
1.23877e+06			1			1.0026			0.128178
399.658			1			1.1089			0.206276
62532.4			1			1.49611			0.496944
29469.8			1			1.49925			0.499499
110107			1			1.49915			0.499321
1626.08			1			1.49966			0.499753
94169.6			1			1.48941			0.491789
3638.5			1			1.49896			0.499205
1504.77			1			1.414			0.438966
334.238			1			1.02291			0.179306
219369			1			1.01929			0.142746
102364			1			1.00235			0.111045
337184			1			1.00206			0.121924
29196			1			1.20496			0.28525
38633.4			1			1.48529			0.48904
14527.8			1			1.49985			0.499895
2982.85			1			1.17715			0.274317
224041			1			1.36027			0.393591
333.465			1			1.49614			0.497178
895.664			1			1.48489			0.490093
195.186			1			1.49967			0.499806
202194			1			1.49878			0.499132
242.804			1			1.49122			0.493193
49.6337			1			1.07604			0.204273
13294.9			1			1.05198			0.165984
304.752			1			1.02386			0.147127
1.48486e+06			1			1.45755			0.467082
4.25527			1			1.378			0.418363
15050.4			1			1.37266			0.409421
27.0555			1			1.39464			0.433452
702.894			1			1.11434			0.21528
134163			1			1.00265			0.134138
182653			1			1.00039			0.101939
549353			1			1.00024			0.105016
3.96798e+06			1			1.00109			0.103608
5812.24			1			1.00728			0.129851
44014.3			1			1.00026			0.118131
56096.4			1			1.0128			0.160253
1.46995e+06			1			1.00787			0.120775
72623.1			1			1.00669			0.106329
1446.18			1			1.00114			0.125233
10981.3			1			1.09954			0.213396
1377.75			1			1.04268			0.167961
8046.09			1			1.12955			0.234077
1.46895e+06			1			1.49994			0.499959
7282.6			1			1.49947			0.49962
2230.12			1			1.47615			0.480746
3977.08			1			1.08792			0.198009
305.198			1			1.09689			0.205935
636.494			1			1.02689			0.158529
411975			1			1.00225			0.117319
2910.3			1			1.00138			0.125165
1.50632e+07			1			1.00059			0.103528
743884			1			1.00107			0.115145
28588			1			1.00121			0.13038
9519.11			1			1.02715			0.140637
34970.4			1			1.0403			0.157451
1497.1			1			1.18152			0.265847
10576.7			1			1.01544			0.157041
16.0771			1			1.0058			0.139857
3.22332e+06			1			1.35007			0.391844
32.047			1			1.499			0.49918
4.37721			1			1.09527			0.221282
84173.7			1			1.0329			0.163712
246013			1			1.00025			0.125151
24404.2			1			1.00011			0.105274
5307.04			1			1.0075			0.147071
14154.6			1			1.00089			0.114491
75207.4			1			1.00526			0.117993
540.655			1			1.04417			0.166514
2659.23			1			1.46094			0.473717
174.06			1			1.48221			0.487764
45589.5			1			1.49976			0.499811
